#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Host Connected,End of File
1,04/14/2025 11:00:00,20.71,52.80,10.75,Logged,,
2,04/14/2025 11:15:00,20.50,54.04,10.91,,,
3,04/14/2025 11:30:00,19.90,58.41,11.52,,,
4,04/14/2025 11:45:00,19.29,58.00,10.84,,,
5,04/14/2025 12:00:00,18.57,57.95,10.16,,,
6,04/14/2025 12:15:00,19.11,55.83,10.10,,,
7,04/14/2025 12:30:00,18.19,60.36,10.40,,,
8,04/14/2025 12:45:00,18.80,56.50,9.99,,,
9,04/14/2025 13:00:00,19.82,55.78,10.75,,,
10,04/14/2025 13:15:00,20.27,54.33,10.77,,,
11,04/14/2025 13:30:00,20.34,50.03,9.60,,,
12,04/14/2025 13:45:00,20.09,49.37,9.17,,,
13,04/14/2025 14:00:00,20.17,51.97,10.01,,,
14,04/14/2025 14:15:00,20.29,53.11,10.45,,,
15,04/14/2025 14:30:00,20.26,53.58,10.55,,,
16,04/14/2025 14:45:00,20.07,52.96,10.21,,,
17,04/14/2025 15:00:00,19.74,53.20,9.97,,,
18,04/14/2025 15:15:00,19.69,52.17,9.62,,,
19,04/14/2025 15:30:00,19.57,51.17,9.23,,,
20,04/14/2025 15:45:00,19.67,52.65,9.74,,,
21,04/14/2025 16:00:00,18.66,52.39,8.74,,,
22,04/14/2025 16:15:00,17.79,55.50,8.78,,,
23,04/14/2025 16:30:00,16.66,55.41,7.71,,,
24,04/14/2025 16:45:00,16.50,58.79,8.43,,,
25,04/14/2025 17:00:00,16.31,56.42,7.64,,,
26,04/14/2025 17:15:00,16.39,59.81,8.57,,,
27,04/14/2025 17:30:00,16.31,57.83,8.00,,,
28,04/14/2025 17:45:00,15.96,56.16,7.24,,,
29,04/14/2025 18:00:00,15.89,56.17,7.19,,,
30,04/14/2025 18:15:00,15.92,58.20,7.74,,,
31,04/14/2025 18:30:00,15.68,58.68,7.62,,,
32,04/14/2025 18:45:00,14.99,58.12,6.84,,,
33,04/14/2025 19:00:00,14.39,58.84,6.46,,,
34,04/14/2025 19:15:00,13.98,61.02,6.60,,,
35,04/14/2025 19:30:00,13.53,61.75,6.35,,,
36,04/14/2025 19:45:00,13.20,62.02,6.10,,,
37,04/14/2025 20:00:00,12.72,64.89,6.30,,,
38,04/14/2025 20:15:00,12.02,65.55,5.78,,,
39,04/14/2025 20:30:00,11.08,68.38,5.49,,,
40,04/14/2025 20:45:00,9.90,70.33,4.76,,,
41,04/14/2025 21:00:00,9.00,71.22,4.07,,,
42,04/14/2025 21:15:00,8.79,71.17,3.87,,,
43,04/14/2025 21:30:00,8.49,71.41,3.63,,,
44,04/14/2025 21:45:00,8.17,71.62,3.36,,,
45,04/14/2025 22:00:00,7.68,72.29,3.01,,,
46,04/14/2025 22:15:00,7.53,76.03,3.58,,,
47,04/14/2025 22:30:00,8.67,72.53,4.02,,,
48,04/14/2025 22:45:00,9.16,71.53,4.29,,,
49,04/14/2025 23:00:00,9.45,70.70,4.40,,,
50,04/14/2025 23:15:00,9.32,71.20,4.38,,,
51,04/14/2025 23:30:00,8.90,71.78,4.09,,,
52,04/14/2025 23:45:00,8.52,73.44,4.06,,,
53,04/15/2025 00:00:00,8.21,74.21,3.90,,,
54,04/15/2025 00:15:00,8.00,76.37,4.10,,,
55,04/15/2025 00:30:00,8.16,76.04,4.20,,,
56,04/15/2025 00:45:00,8.36,75.67,4.33,,,
57,04/15/2025 01:00:00,8.70,74.91,4.51,,,
58,04/15/2025 01:15:00,9.05,73.81,4.63,,,
59,04/15/2025 01:30:00,9.35,72.64,4.70,,,
60,04/15/2025 01:45:00,9.35,71.93,4.56,,,
61,04/15/2025 02:00:00,9.26,72.07,4.50,,,
62,04/15/2025 02:15:00,9.27,71.86,4.47,,,
63,04/15/2025 02:30:00,9.07,71.61,4.22,,,
64,04/15/2025 02:45:00,8.98,71.41,4.10,,,
65,04/15/2025 03:00:00,8.73,72.27,4.02,,,
66,04/15/2025 03:15:00,8.58,73.39,4.10,,,
67,04/15/2025 03:30:00,8.55,73.60,4.11,,,
68,04/15/2025 03:45:00,8.52,73.82,4.13,,,
69,04/15/2025 04:00:00,8.45,73.95,4.08,,,
70,04/15/2025 04:15:00,8.35,74.98,4.19,,,
71,04/15/2025 04:30:00,8.55,74.74,4.33,,,
72,04/15/2025 04:45:00,8.81,73.52,4.35,,,
73,04/15/2025 05:00:00,8.76,73.35,4.27,,,
74,04/15/2025 05:15:00,9.00,71.82,4.19,,,
75,04/15/2025 05:30:00,9.22,70.87,4.22,,,
76,04/15/2025 05:45:00,9.66,68.98,4.26,,,
77,04/15/2025 06:00:00,9.91,67.85,4.26,,,
78,04/15/2025 06:15:00,9.93,67.58,4.22,,,
79,04/15/2025 06:30:00,10.25,66.58,4.32,,,
80,04/15/2025 06:45:00,10.34,67.02,4.49,,,
81,04/15/2025 07:00:00,10.57,67.30,4.78,,,
82,04/15/2025 07:15:00,10.83,68.72,5.32,,,
83,04/15/2025 07:30:00,11.11,69.47,5.75,,,
84,04/15/2025 07:45:00,11.67,67.82,5.93,,,
85,04/15/2025 08:00:00,12.14,68.48,6.52,,,
86,04/15/2025 08:15:00,12.36,68.34,6.71,,,
87,04/15/2025 08:30:00,13.03,67.02,7.06,,,
88,04/15/2025 08:45:00,13.82,65.85,7.56,,,
89,04/15/2025 09:00:00,13.79,66.03,7.57,,,
90,04/15/2025 09:15:00,14.25,66.67,8.15,,,
91,04/15/2025 09:30:00,15.09,65.18,8.61,,,
92,04/15/2025 09:45:00,15.37,64.43,8.71,,,
93,04/15/2025 10:00:00,15.26,65.56,8.86,,,
94,04/15/2025 10:15:00,15.80,65.39,9.33,,,
95,04/15/2025 10:30:00,16.18,63.83,9.34,,,
96,04/15/2025 10:45:00,16.90,62.50,9.71,,,
97,04/15/2025 11:00:00,17.45,62.20,10.15,,,
98,04/15/2025 11:15:00,18.72,60.16,10.86,,,
99,04/15/2025 11:30:00,19.51,58.72,11.23,,,
100,04/15/2025 11:45:00,19.80,57.54,11.19,,,
101,04/15/2025 12:00:00,20.18,56.58,11.30,,,
102,04/15/2025 12:15:00,20.36,57.10,11.61,,,
103,04/15/2025 12:30:00,21.05,54.95,11.67,,,
104,04/15/2025 12:45:00,21.38,54.85,11.95,,,
105,04/15/2025 13:00:00,21.43,53.11,11.50,,,
106,04/15/2025 13:15:00,21.87,52.62,11.77,,,
107,04/15/2025 13:30:00,22.43,50.89,11.78,,,
108,04/15/2025 13:45:00,22.68,50.83,11.99,,,
109,04/15/2025 14:00:00,22.86,49.17,11.66,,,
110,04/15/2025 14:15:00,22.81,49.76,11.79,,,
111,04/15/2025 14:30:00,23.12,48.46,11.67,,,
112,04/15/2025 14:45:00,23.03,48.25,11.53,,,
113,04/15/2025 15:00:00,23.29,47.96,11.67,,,
114,04/15/2025 15:15:00,23.41,46.06,11.17,,,
115,04/15/2025 15:30:00,23.08,47.68,11.39,,,
116,04/15/2025 15:45:00,23.09,45.88,10.82,,,
117,04/15/2025 16:00:00,23.25,42.88,9.95,,,
118,04/15/2025 16:15:00,22.50,44.02,9.66,,,
119,04/15/2025 16:30:00,22.09,44.51,9.46,,,
120,04/15/2025 16:45:00,21.96,46.55,10.01,,,
121,04/15/2025 17:00:00,21.72,47.27,10.01,,,
122,04/15/2025 17:15:00,21.82,42.74,8.61,,,
123,04/15/2025 17:30:00,21.70,43.52,8.77,,,
124,04/15/2025 17:45:00,21.46,43.84,8.66,,,
125,04/15/2025 18:00:00,21.32,44.75,8.84,,,
126,04/15/2025 18:15:00,21.28,43.18,8.27,,,
127,04/15/2025 18:30:00,21.16,49.62,10.23,,,
128,04/15/2025 18:45:00,20.93,49.62,10.02,,,
129,04/15/2025 19:00:00,20.63,51.03,10.17,,,
130,04/15/2025 19:15:00,20.22,52.48,10.21,,,
