#,Date-Time (CEST),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Host Connected,End of File
1,04/14/2025 11:00:00,20.36,54.41,10.88,Logged,,
2,04/14/2025 11:15:00,20.29,55.37,11.07,,,
3,04/14/2025 11:30:00,19.66,59.70,11.62,,,
4,04/14/2025 11:45:00,19.63,57.40,11.01,,,
5,04/14/2025 11:54:57,,,,,Logged,
6,04/14/2025 12:00:00,16.70,60.33,8.99,,,
7,04/14/2025 12:15:00,15.62,60.84,8.11,,,
8,04/14/2025 12:30:00,15.66,59.47,7.80,,,
9,04/14/2025 12:45:00,16.13,57.23,7.68,,,
10,04/14/2025 13:00:00,16.30,56.83,7.74,,,
11,04/14/2025 13:15:00,16.52,56.85,7.95,,,
12,04/14/2025 13:30:00,16.76,53.45,7.27,,,
13,04/14/2025 13:45:00,16.79,52.85,7.13,,,
14,04/14/2025 14:00:00,16.95,53.58,7.48,,,
15,04/14/2025 14:15:00,17.39,55.19,8.33,,,
16,04/14/2025 14:30:00,16.99,55.85,8.12,,,
17,04/14/2025 14:45:00,16.90,54.67,7.73,,,
18,04/14/2025 15:00:00,16.76,55.49,7.82,,,
19,04/14/2025 15:15:00,17.05,53.77,7.62,,,
20,04/14/2025 15:30:00,17.44,52.13,7.53,,,
21,04/14/2025 15:45:00,17.48,51.91,7.51,,,
22,04/14/2025 16:00:00,17.19,53.18,7.59,,,
23,04/14/2025 16:15:00,16.36,55.58,7.47,,,
24,04/14/2025 16:30:00,15.97,55.70,7.13,,,
25,04/14/2025 16:45:00,16.33,54.67,7.20,,,
26,04/14/2025 17:00:00,16.43,54.28,7.19,,,
27,04/14/2025 17:15:00,16.76,53.60,7.31,,,
28,04/14/2025 17:30:00,16.61,52.41,6.84,,,
29,04/14/2025 17:45:00,16.04,53.81,6.70,,,
30,04/14/2025 18:00:00,15.78,54.08,6.53,,,
31,04/14/2025 18:15:00,16.11,52.24,6.33,,,
32,04/14/2025 18:30:00,15.98,53.26,6.49,,,
33,04/14/2025 18:45:00,15.74,53.53,6.35,,,
34,04/14/2025 19:00:00,15.28,55.10,6.34,,,
35,04/14/2025 19:15:00,14.86,56.75,6.37,,,
36,04/14/2025 19:30:00,14.73,57.37,6.41,,,
37,04/14/2025 19:45:00,14.15,59.06,6.29,,,
38,04/14/2025 20:00:00,13.77,60.46,6.27,,,
