#;Date-Time (CEST);Temperature   (°C);RH   (%);Dew Point   (°C);Started;Host Connected;End of File;LogID
1;04/14/2025 11:00:00;20,1;55,01;10,8;Logged;;;7
2;04/14/2025 11:15:00;20,26;55,36;11,04;;;;7
3;04/14/2025 11:30:00;19,99;58,02;11,5;;;;7
4;04/14/2025 11:45:00;20,25;57,06;11,49;;;;7
5;04/14/2025 12:00:00;20,06;55,04;10,78;;;;7
6;04/14/2025 12:15:00;19,96;53,37;10,21;;;;7
7;04/14/2025 12:30:00;19,99;54,69;10,61;;;;7
8;04/14/2025 12:45:00;20,39;48,35;9,14;;;;7
9;04/14/2025 13:00:00;20,51;52,93;10,6;;;;7
10;04/14/2025 13:15:00;18,96;58,5;10,66;;;;7
11;04/14/2025 13:30:00;17,49;53,75;8,03;;;;7
12;04/14/2025 13:45:00;17,1;53,83;7,69;;;;7
13;04/14/2025 14:00:00;17,37;54,26;8,06;;;;7
14;04/14/2025 14:15:00;17,44;57,07;8,86;;;;7
15;04/14/2025 14:30:00;17,19;58,61;9,03;;;;7
16;04/14/2025 14:45:00;17,25;54,64;8,05;;;;7
17;04/14/2025 15:00:00;17,11;58,31;8,88;;;;7
18;04/14/2025 15:15:00;17,23;52,58;7,47;;;;7
19;04/14/2025 15:30:00;17,38;53,81;7,95;;;;7
20;04/14/2025 15:45:00;17,43;51,89;7,45;;;;7
21;04/14/2025 16:00:00;17,13;55,24;8,09;;;;7
22;04/14/2025 16:15:00;16,26;56,22;7,54;;;;7
23;04/14/2025 16:30:00;15,74;57,21;7,31;;;;7
24;04/14/2025 16:45:00;16,18;56,18;7,46;;;;7
25;04/14/2025 17:00:00;16,21;56,91;7,68;;;;7
26;04/14/2025 17:15:00;16,4;55,26;7,42;;;;7
27;04/14/2025 17:30:00;16,24;54,28;7,01;;;;7
28;04/14/2025 17:45:00;15,67;55,59;6,83;;;;7
29;04/14/2025 18:00:00;15,49;56,51;6,9;;;;7
30;04/14/2025 18:15:00;15,72;52,77;6,12;;;;7
31;04/14/2025 18:30:00;15,54;54,34;6,37;;;;7
32;04/14/2025 18:45:00;15,18;55,36;6,31;;;;7
33;04/14/2025 19:00:00;14,66;57,02;6,25;;;;7
34;04/14/2025 19:15:00;14,27;57,95;6,12;;;;7
35;04/14/2025 19:30:00;14,08;59,76;6,39;;;;7
36;04/14/2025 19:45:00;13,61;61,03;6,25;;;;7
37;04/14/2025 20:00:00;13,09;62,71;6,16;;;;7
38;04/14/2025 20:15:00;12,59;63,95;5,96;;;;7
39;04/14/2025 20:30:00;11,61;67,3;5,77;;;;7
40;04/14/2025 20:45:00;10,65;69,36;5,28;;;;7
41;04/14/2025 21:00:00;10,13;69,87;4,89;;;;7
